,embedded_wind_generation,embedded_wind_capacity,nd,tsd,settlement_date,ifa_flow
0,54,1403,37910,38704,2009-01-01,2002
1,53,1403,38047,38964,2009-01-01,2002
2,53,1403,37380,38651,2009-01-01,2002
3,50,1403,36426,37775,2009-01-01,1772
4,50,1403,35687,37298,2009-01-01,1753
5,43,1403,35408,37135,2009-01-01,1754
6,43,1403,34322,36844,2009-01-01,1754
7,56,1403,33076,35678,2009-01-01,1755
8,56,1403,31970,34635,2009-01-01,1755
9,56,1403,31270,33934,2009-01-01,1754
10,56,1403,30726,33378,2009-01-01,1754
11,57,1403,30320,32915,2009-01-01,1754
12,57,1403,30429,32875,2009-01-01,1754
13,73,1403,30287,32720,2009-01-01,1753
14,73,1403,29650,31900,2009-01-01,1690
15,75,1403,28841,31055,2009-01-01,1689
16,75,1403,29007,31094,2009-01-01,1689
17,63,1403,29787,31440,2009-01-01,1690
18,63,1403,31362,32079,2009-01-01,1689
19,66,1403,33257,33926,2009-01-01,1689
20,66,1403,34932,35602,2009-01-01,1689
21,63,1403,36579,37312,2009-01-01,1690
22,63,1403,37967,38751,2009-01-01,1691
23,61,1403,39235,40013,2009-01-01,1691
24,61,1403,40204,41058,2009-01-01,1691
25,59,1403,40672,41457,2009-01-01,1691
26,59,1403,40806,41479,2009-01-01,1691
27,39,1403,40781,41450,2009-01-01,1690
28,39,1403,40758,41427,2009-01-01,1691
29,35,1403,40524,41189,2009-01-01,1691
30,35,1403,40796,41417,2009-01-01,1753
31,49,1403,41703,42332,2009-01-01,1753
32,49,1403,43527,44133,2009-01-01,1754
33,72,1403,45488,46096,2009-01-01,1754
34,72,1403,46028,46634,2009-01-01,1754
35,77,1403,45876,46515,2009-01-01,1754
36,77,1403,45195,45865,2009-01-01,1754
37,93,1403,44289,44965,2009-01-01,1754
38,93,1403,43784,44579,2009-01-01,1751
39,100,1403,42583,43425,2009-01-01,1752
40,100,1403,42181,43000,2009-01-01,1752
41,107,1403,40746,41596,2009-01-01,1752
42,107,1403,39961,40813,2009-01-01,1751
43,89,1403,38333,39182,2009-01-01,1752
44,89,1403,36951,37797,2009-01-01,1751
45,82,1403,35987,36781,2009-01-01,1345
46,82,1403,34769,36116,2009-01-01,806
47,62,1403,33504,35379,2009-01-01,916
48,62,1403,34221,35837,2009-01-02,916
49,82,1403,34029,36024,2009-01-02,904
50,82,1403,33705,35718,2009-01-02,920
51,157,1403,32904,34798,2009-01-02,921
52,157,1403,32715,34528,2009-01-02,919
53,163,1403,32867,34673,2009-01-02,921
54,163,1403,32262,34161,2009-01-02,919
55,199,1403,31464,33540,2009-01-02,920
56,199,1403,30776,32965,2009-01-02,920
57,213,1403,30347,32513,2009-01-02,920
58,213,1403,30291,32319,2009-01-02,944
59,312,1403,30595,32473,2009-01-02,945
60,312,1403,31900,33437,2009-01-02,905
61,352,1403,33131,34146,2009-01-02,527
62,352,1403,33977,34964,2009-01-02,-353
63,314,1403,34708,35648,2009-01-02,-307
64,314,1403,36067,37007,2009-01-02,-307
65,421,1403,37976,38914,2009-01-02,-307
66,421,1403,39972,40912,2009-01-02,-306
67,436,1403,41339,42279,2009-01-02,-306
68,436,1403,42408,43347,2009-01-02,-306
69,407,1403,42972,43955,2009-01-02,-306
70,407,1403,43418,44044,2009-01-02,-12
71,373,1403,43652,44266,2009-01-02,202
72,373,1403,43988,44628,2009-01-02,202
73,338,1403,43882,44584,2009-01-02,202
74,338,1403,43957,44715,2009-01-02,202
75,314,1403,43673,44393,2009-01-02,202
76,314,1403,43795,44471,2009-01-02,202
77,318,1403,43613,44259,2009-01-02,202
78,318,1403,43936,44561,2009-01-02,723
79,334,1403,44767,45396,2009-01-02,726
80,334,1403,46900,47533,2009-01-02,855
81,310,1403,49706,50343,2009-01-02,1210
82,310,1403,51181,51797,2009-01-02,1211
83,286,1403,51268,51876,2009-01-02,1196
84,286,1403,50448,51081,2009-01-02,1017
85,257,1403,49419,50056,2009-01-02,1015
86,257,1403,48356,49107,2009-01-02,531
87,230,1403,46897,47675,2009-01-02,542
88,230,1403,45766,46470,2009-01-02,542
89,400,1403,44489,45208,2009-01-02,543
90,400,1403,43103,43898,2009-01-02,62
91,353,1403,41338,42147,2009-01-02,66
92,353,1403,40133,40943,2009-01-02,69
93,303,1403,38940,39713,2009-01-02,58
94,303,1403,37310,38817,2009-01-02,354
95,229,1403,36160,38267,2009-01-02,352
96,229,1403,36626,38278,2009-01-03,363
97,214,1403,36153,37804,2009-01-03,364
98,214,1403,35558,37437,2009-01-03,366
99,187,1403,34533,36414,2009-01-03,366
100,187,1403,34118,36027,2009-01-03,356
101,167,1403,34140,36113,2009-01-03,356
102,167,1403,33497,35617,2009-01-03,585
103,163,1403,32708,34947,2009-01-03,583
104,163,1403,32000,34399,2009-01-03,582
105,141,1403,31607,34137,2009-01-03,583
106,141,1403,31374,33850,2009-01-03,582
107,122,1403,31433,33868,2009-01-03,583
108,122,1403,32116,34083,2009-01-03,582
109,109,1403,32522,33843,2009-01-03,607
110,109,1403,32979,33594,2009-01-03,296
111,114,1403,33360,34065,2009-01-03,277
112,114,1403,34669,35439,2009-01-03,277
113,134,1403,36589,37358,2009-01-03,276
114,134,1403,38768,39537,2009-01-03,311
115,155,1403,40235,41002,2009-01-03,311
116,155,1403,41431,42198,2009-01-03,318
117,177,1403,42019,42787,2009-01-03,733
118,177,1403,42315,43083,2009-01-03,859
119,193,1403,42421,43189,2009-01-03,859
120,193,1403,42653,43421,2009-01-03,859
121,193,1403,42508,43276,2009-01-03,859
122,193,1403,42351,43119,2009-01-03,859
123,207,1403,41856,42620,2009-01-03,730
124,207,1403,41696,42454,2009-01-03,302
125,224,1403,41525,42202,2009-01-03,285
126,224,1403,41848,42448,2009-01-03,1089
127,224,1403,42631,43236,2009-01-03,1269
128,224,1403,45019,45627,2009-01-03,1272
129,233,1403,48084,48659,2009-01-03,1463
130,233,1403,49881,50418,2009-01-03,1814
131,231,1403,49834,50422,2009-01-03,1814
132,231,1403,49416,50066,2009-01-03,1814
133,241,1403,48370,49017,2009-01-03,1701
134,241,1403,47345,47948,2009-01-03,879
135,236,1403,46190,46798,2009-01-03,620
136,236,1403,45080,45688,2009-01-03,146
137,175,1403,43622,44257,2009-01-03,146
138,175,1403,42299,43037,2009-01-03,51
139,183,1403,40793,41557,2009-01-03,49
140,183,1403,39593,40341,2009-01-03,50
141,199,1403,38560,39238,2009-01-03,49
142,199,1403,37101,38800,2009-01-03,-50
143,225,1403,36265,38336,2009-01-03,-52
144,225,1403,36713,38749,2009-01-04,-53
145,252,1403,36173,38318,2009-01-04,-55
146,252,1403,35395,37621,2009-01-04,-54
147,275,1403,34446,36664,2009-01-04,-55
148,275,1403,33898,36079,2009-01-04,-54
149,336,1403,33957,36047,2009-01-04,-74
150,336,1403,33628,35783,2009-01-04,48
151,362,1403,32787,35010,2009-01-04,48
152,362,1403,32076,34264,2009-01-04,49
153,381,1403,31545,33775,2009-01-04,49
154,381,1403,31166,33518,2009-01-04,50
155,412,1403,30904,33123,2009-01-04,49
156,412,1403,31166,33197,2009-01-04,49
157,449,1403,31174,33043,2009-01-04,49
158,449,1403,31046,32072,2009-01-04,50
159,435,1403,31020,31643,2009-01-04,49
160,435,1403,31999,32618,2009-01-04,30
161,337,1403,33665,34285,2009-01-04,49
162,337,1403,35902,36520,2009-01-04,48
163,345,1403,37919,38536,2009-01-04,45
164,345,1403,40144,40764,2009-01-04,49
165,349,1403,41664,42285,2009-01-04,637
166,349,1403,43026,43628,2009-01-04,758
167,332,1403,43935,44513,2009-01-04,758
168,332,1403,44747,45383,2009-01-04,759
169,319,1403,44918,45583,2009-01-04,759
170,319,1403,45087,45771,2009-01-04,758
171,323,1403,44942,45566,2009-01-04,758
172,323,1403,45063,45686,2009-01-04,758
173,302,1403,45105,45726,2009-01-04,758
174,302,1403,45120,45742,2009-01-04,982
175,280,1403,46031,46655,2009-01-04,960
176,280,1403,47778,48404,2009-01-04,1117
177,274,1403,50117,50735,2009-01-04,1503
178,274,1403,50628,51236,2009-01-04,1512
179,252,1403,50293,50918,2009-01-04,1512
180,252,1403,49727,50352,2009-01-04,1512
181,229,1403,48632,49258,2009-01-04,1139
182,229,1403,47634,48259,2009-01-04,708
183,276,1403,46681,47310,2009-01-04,708
184,276,1403,46082,46746,2009-01-04,708
185,388,1403,44452,45178,2009-01-04,443
186,388,1403,43504,44322,2009-01-04,-28
187,347,1403,41342,42105,2009-01-04,-27
188,347,1403,39890,40598,2009-01-04,-33
189,382,1403,38023,38814,2009-01-04,-60
190,382,1403,35705,38217,2009-01-04,-773
191,358,1403,34558,38051,2009-01-04,-814
192,358,1403,35293,38323,2009-01-05,-813
193,358,1403,35182,38372,2009-01-05,-813
194,358,1403,34988,38185,2009-01-05,-813
195,366,1403,34328,37637,2009-01-05,-813
196,366,1403,34209,37596,2009-01-05,-813
197,428,1403,34513,37849,2009-01-05,-813
198,428,1403,34075,37398,2009-01-05,-864
199,542,1403,33280,36715,2009-01-05,-864
200,542,1403,32684,36121,2009-01-05,-864
201,537,1403,32632,36048,2009-01-05,-864
202,537,1403,32822,36232,2009-01-05,-864
203,594,1403,33748,37100,2009-01-05,-864
204,594,1403,36507,39330,2009-01-05,-1026
205,609,1403,39690,41932,2009-01-05,-1023
206,609,1403,43268,45016,2009-01-05,-1106
207,650,1403,45523,47270,2009-01-05,-1106
208,650,1403,46998,48745,2009-01-05,-1106
209,650,1403,47948,49691,2009-01-05,-1107
210,650,1403,49557,51135,2009-01-05,-945
211,661,1403,50218,51513,2009-01-05,-636
212,661,1403,50624,51837,2009-01-05,-566
213,607,1403,50760,51947,2009-01-05,-567
214,607,1403,51057,52229,2009-01-05,-568
215,607,1403,51100,52272,2009-01-05,-568
216,607,1403,51356,52529,2009-01-05,-568
217,617,1403,51128,52349,2009-01-05,-609
218,617,1403,51105,52504,2009-01-05,-679
219,566,1403,50904,52229,2009-01-05,-618
220,566,1403,51117,52438,2009-01-05,-618
221,516,1403,50906,52134,2009-01-05,-517
222,516,1403,50706,51339,2009-01-05,598
223,505,1403,51577,52210,2009-01-05,638
224,505,1403,53469,54108,2009-01-05,675
225,476,1403,56299,56915,2009-01-05,676
226,476,1403,57511,58201,2009-01-05,711
227,494,1403,56906,57631,2009-01-05,713
228,494,1403,56381,57017,2009-01-05,711
229,492,1403,55441,56072,2009-01-05,693
230,492,1403,54385,55247,2009-01-05,-180
231,444,1403,53080,54036,2009-01-05,-204
232,444,1403,51434,52351,2009-01-05,-204
233,417,1403,50135,50938,2009-01-05,-205
234,417,1403,48545,49566,2009-01-05,-291
235,386,1403,45920,47164,2009-01-05,-438
236,386,1403,44086,45510,2009-01-05,-606
237,356,1403,41578,43809,2009-01-05,-643
238,356,1403,39029,42922,2009-01-05,-1469
239,314,1403,37644,41759,2009-01-05,-1482
240,314,1403,38051,42182,2009-01-06,-1487
241,298,1403,38013,42134,2009-01-06,-1487
242,298,1403,37904,42088,2009-01-06,-1487
243,278,1403,37351,41558,2009-01-06,-1487
244,278,1403,37138,41293,2009-01-06,-1449
245,241,1403,37475,41607,2009-01-06,-1450
246,241,1403,37167,41283,2009-01-06,-1451
247,198,1403,36525,40624,2009-01-06,-1451
248,198,1403,36035,40169,2009-01-06,-1487
249,202,1403,35908,40035,2009-01-06,-1487
250,202,1403,36212,40796,2009-01-06,-1973
251,209,1403,37276,41803,2009-01-06,-1974
252,209,1403,40062,44344,2009-01-06,-1973
253,228,1403,43224,46623,2009-01-06,-1971
254,228,1403,46930,49118,2009-01-06,-1577
255,236,1403,49031,51156,2009-01-06,-1519
256,236,1403,49844,51930,2009-01-06,-1412
257,246,1403,50139,51977,2009-01-06,-1232
258,246,1403,51470,53310,2009-01-06,-1232
259,243,1403,52011,53813,2009-01-06,-1232
260,243,1403,52128,53784,2009-01-06,-1136
261,238,1403,52148,53450,2009-01-06,-720
262,238,1403,52020,53348,2009-01-06,-720
263,212,1403,51988,53316,2009-01-06,-720
264,212,1403,52074,53403,2009-01-06,-719
265,218,1403,51836,53210,2009-01-06,-770
266,218,1403,51657,53185,2009-01-06,-924
267,243,1403,51318,52846,2009-01-06,-924
268,243,1403,51470,52998,2009-01-06,-924
269,241,1403,51270,52652,2009-01-06,-778
270,241,1403,51171,51777,2009-01-06,646
271,239,1403,52309,52915,2009-01-06,1056
272,239,1403,54404,55014,2009-01-06,1491
273,256,1403,57571,58167,2009-01-06,1785
274,256,1403,58594,59171,2009-01-06,2012
275,291,1403,58045,58626,2009-01-06,2014
276,291,1403,57401,57987,2009-01-06,2014
277,319,1403,56559,57165,2009-01-06,1783
278,319,1403,55559,56171,2009-01-06,686
279,317,1403,53965,54580,2009-01-06,5
280,317,1403,52967,53671,2009-01-06,-95
281,331,1403,51282,52091,2009-01-06,-205
282,331,1403,49370,50773,2009-01-06,-699
283,272,1403,47010,48755,2009-01-06,-1028
284,272,1403,44653,46309,2009-01-06,-1028
285,239,1403,42281,43978,2009-01-06,-1029
286,239,1403,39576,42479,2009-01-06,-1325
287,211,1403,38394,42091,2009-01-06,-1541
288,211,1403,38746,42108,2009-01-07,-1541
289,172,1403,38615,42319,2009-01-07,-1541
290,172,1403,38580,42061,2009-01-07,-1541
291,152,1403,38090,41713,2009-01-07,-1549
292,152,1403,37939,41962,2009-01-07,-1846
293,168,1403,38233,42243,2009-01-07,-1881
294,168,1403,37785,41914,2009-01-07,-1752
295,170,1403,37245,41498,2009-01-07,-1747
296,170,1403,36671,40906,2009-01-07,-1747
297,145,1403,36598,40727,2009-01-07,-1704
298,145,1403,36797,40616,2009-01-07,-1468
299,111,1403,37483,41286,2009-01-07,-1467
300,111,1403,40212,43271,2009-01-07,-1467
301,110,1403,43441,45580,2009-01-07,-1465
302,110,1403,47218,48416,2009-01-07,-590
303,118,1403,49686,50442,2009-01-07,-154
304,118,1403,50800,51582,2009-01-07,-155
305,192,1403,50594,51386,2009-01-07,-154
306,192,1403,51792,52556,2009-01-07,-153
307,166,1403,52420,53185,2009-01-07,-153
308,166,1403,52631,53394,2009-01-07,-153
309,138,1403,52853,53613,2009-01-07,-153
310,138,1403,52910,53671,2009-01-07,-153
311,133,1403,52847,53608,2009-01-07,-153
312,133,1403,53010,53770,2009-01-07,-153
313,131,1403,52821,53581,2009-01-07,-153
314,131,1403,52632,53393,2009-01-07,-153
315,122,1403,52500,53260,2009-01-07,-153
316,122,1403,52581,53355,2009-01-07,-167
317,121,1403,52392,53084,2009-01-07,-85
318,121,1403,52247,52855,2009-01-07,1359
319,130,1403,53325,53932,2009-01-07,1659
320,130,1403,55383,55995,2009-01-07,1970
321,142,1403,57494,58056,2009-01-07,2004
322,142,1403,58295,58839,2009-01-07,2007
323,146,1403,57507,58092,2009-01-07,2007
324,146,1403,56830,57440,2009-01-07,2007
325,170,1403,55737,56350,2009-01-07,1934
326,170,1403,54490,55101,2009-01-07,709
327,175,1403,53306,53914,2009-01-07,467
328,175,1403,51900,52505,2009-01-07,359
329,152,1403,50014,50617,2009-01-07,361
330,152,1403,48340,49044,2009-01-07,-23
331,112,1403,46236,46960,2009-01-07,-19
332,112,1403,43706,44911,2009-01-07,-483
333,110,1403,41520,42808,2009-01-07,-581
334,110,1403,39085,41667,2009-01-07,-873
335,114,1403,37606,41034,2009-01-07,-1276
336,114,1403,38055,41333,2009-01-08,-1318
337,156,1403,37957,41215,2009-01-08,-1318
338,156,1403,37821,41230,2009-01-08,-1319
339,175,1403,37165,40447,2009-01-08,-1318
340,175,1403,36872,40368,2009-01-08,-1318
341,193,1403,37124,40564,2009-01-08,-1314
342,193,1403,36508,39944,2009-01-08,-1214
343,203,1403,35998,39473,2009-01-08,-1214
344,203,1403,35455,39134,2009-01-08,-1420
345,184,1403,35165,38777,2009-01-08,-1419
346,184,1403,35354,38722,2009-01-08,-1289
347,153,1403,36119,39354,2009-01-08,-1233
348,153,1403,39045,41976,2009-01-08,-1233
349,148,1403,42301,44840,2009-01-08,-1233
350,148,1403,46321,47925,2009-01-08,-994
351,160,1403,48733,50316,2009-01-08,-924
352,160,1403,49637,51300,2009-01-08,-924
353,223,1403,49421,50724,2009-01-08,-613
354,223,1403,50194,51375,2009-01-08,-567
355,216,1403,50579,51758,2009-01-08,-566
356,216,1403,50507,51683,2009-01-08,-567
357,232,1403,50527,51702,2009-01-08,-567
358,232,1403,50566,51741,2009-01-08,-567
359,252,1403,50602,51778,2009-01-08,-567
360,252,1403,50610,51785,2009-01-08,-567
361,274,1403,50338,51512,2009-01-08,-567
362,274,1403,50296,51468,2009-01-08,-566
363,252,1403,49983,51154,2009-01-08,-567
364,252,1403,50084,51353,2009-01-08,-665
365,233,1403,49882,51119,2009-01-08,-633
366,233,1403,49960,50564,2009-01-08,712
367,193,1403,50952,51560,2009-01-08,913
368,193,1403,53229,53843,2009-01-08,1579
369,177,1403,56289,56898,2009-01-08,1736
370,177,1403,57175,57800,2009-01-08,2006
371,171,1403,56862,57500,2009-01-08,2004
372,171,1403,56161,56773,2009-01-08,2003
373,178,1403,55275,55887,2009-01-08,1864
374,178,1403,53878,54504,2009-01-08,400
375,178,1403,52495,53312,2009-01-08,-174
376,178,1403,51438,52220,2009-01-08,-174
377,228,1403,49648,50432,2009-01-08,-174
378,228,1403,47828,49274,2009-01-08,-735
379,213,1403,45407,46983,2009-01-08,-787
380,213,1403,43232,45072,2009-01-08,-1110
381,197,1403,41084,43259,2009-01-08,-1184
382,197,1403,38639,42186,2009-01-08,-1506
