settlement_date,nd
2009-01-01,37910
2009-01-01,38047
2009-01-01,37380
2009-01-01,36426
2009-01-01,35687
2009-01-01,35408
2009-01-01,34322
2009-01-01,33076
2009-01-01,31970
2009-01-01,31270
2009-01-01,30726
2009-01-01,30320
2009-01-01,30429
2009-01-01,30287
2009-01-01,29650
2009-01-01,28841
2009-01-01,29007
2009-01-01,29787
2009-01-01,31362
2009-01-01,33257
2009-01-01,34932
2009-01-01,36579
2009-01-01,37967
2009-01-01,39235
2009-01-01,40204
2009-01-01,40672
2009-01-01,40806
2009-01-01,40781
2009-01-01,40758
2009-01-01,40524
2009-01-01,40796
2009-01-01,41703
2009-01-01,43527
2009-01-01,45488
2009-01-01,46028
2009-01-01,45876
2009-01-01,45195
2009-01-01,44289
2009-01-01,43784
2009-01-01,42583
2009-01-01,42181
2009-01-01,40746
2009-01-01,39961
2009-01-01,38333
2009-01-01,36951
2009-01-01,35987
2009-01-01,34769
2009-01-01,33504
2009-01-02,34221
2009-01-02,34029
2009-01-02,33705
2009-01-02,32904
2009-01-02,32715
2009-01-02,32867
2009-01-02,32262
2009-01-02,31464
2009-01-02,30776
2009-01-02,30347
2009-01-02,30291
2009-01-02,30595
2009-01-02,31900
2009-01-02,33131
2009-01-02,33977
2009-01-02,34708
2009-01-02,36067
2009-01-02,37976
2009-01-02,39972
2009-01-02,41339
2009-01-02,42408
2009-01-02,42972
2009-01-02,43418
2009-01-02,43652
2009-01-02,43988
2009-01-02,43882
2009-01-02,43957
2009-01-02,43673
2009-01-02,43795
2009-01-02,43613
2009-01-02,43936
2009-01-02,44767
2009-01-02,46900
2009-01-02,49706
2009-01-02,51181
2009-01-02,51268
2009-01-02,50448
2009-01-02,49419
2009-01-02,48356
2009-01-02,46897
2009-01-02,45766
2009-01-02,44489
2009-01-02,43103
2009-01-02,41338
2009-01-02,40133
2009-01-02,38940
2009-01-02,37310
2009-01-02,36160
2009-01-03,36626
2009-01-03,36153
2009-01-03,35558
2009-01-03,34533
2009-01-03,34118
2009-01-03,34140
2009-01-03,33497
2009-01-03,32708
2009-01-03,32000
2009-01-03,31607
2009-01-03,31374
2009-01-03,31433
2009-01-03,32116
2009-01-03,32522
2009-01-03,32979
2009-01-03,33360
2009-01-03,34669
2009-01-03,36589
