settlement_period,nd
1,37910
2,38047
3,37380
4,36426
5,35687
6,35408
7,34322
8,33076
9,31970
10,31270
11,30726
12,30320
13,30429
14,30287
15,29650
16,28841
17,29007
18,29787
19,31362
20,33257
21,34932
22,36579
23,37967
24,39235
25,40204
26,40672
27,40806
28,40781
29,40758
30,40524
31,40796
32,41703
33,43527
34,45488
35,46028
36,45876
37,45195
38,44289
39,43784
40,42583
41,42181
42,40746
43,39961
44,38333
45,36951
46,35987
47,34769
48,33504
1,34221
2,34029
3,33705
4,32904
5,32715
6,32867
7,32262
8,31464
9,30776
10,30347
11,30291
12,30595
13,31900
14,33131
15,33977
16,34708
17,36067
18,37976
19,39972
20,41339
21,42408
22,42972
23,43418
24,43652
25,43988
26,43882
27,43957
28,43673
29,43795
30,43613
31,43936
32,44767
33,46900
34,49706
35,51181
36,51268
37,50448
38,49419
39,48356
40,46897
41,45766
42,44489
43,43103
44,41338
45,40133
46,38940
47,37310
48,36160
1,36626
2,36153
3,35558
4,34533
5,34118
6,34140
7,33497
8,32708
9,32000
10,31607
11,31374
12,31433
13,32116
14,32522
15,32979
16,33360
17,34669
18,36589
19,38768
20,40235
21,41431
22,42019
23,42315
24,42421
25,42653
26,42508
27,42351
28,41856
29,41696
30,41525
31,41848
32,42631
33,45019
34,48084
35,49881
36,49834
37,49416
38,48370
39,47345
40,46190
41,45080
42,43622
43,42299
44,40793
45,39593
46,38560
47,37101
48,36265
1,36713
2,36173
3,35395
4,34446
5,33898
6,33957
7,33628
8,32787
9,32076
10,31545
11,31166
12,30904
13,31166
14,31174
15,31046
16,31020
17,31999
18,33665
19,35902
20,37919
21,40144
22,41664
23,43026
24,43935
25,44747
26,44918
27,45087
28,44942
29,45063
30,45105
31,45120
32,46031
33,47778
34,50117
35,50628
36,50293
37,49727
38,48632
39,47634
40,46681
41,46082
42,44452
43,43504
44,41342
45,39890
46,38023
47,35705
48,34558
1,35293
2,35182
3,34988
4,34328
5,34209
6,34513
7,34075
8,33280
9,32684
10,32632
11,32822
12,33748
13,36507
14,39690
15,43268
16,45523
17,46998
18,47948
19,49557
20,50218
21,50624
22,50760
23,51057
24,51100
25,51356
26,51128
27,51105
28,50904
29,51117
30,50906
31,50706
32,51577
33,53469
34,56299
35,57511
36,56906
37,56381
38,55441
39,54385
40,53080
41,51434
42,50135
43,48545
44,45920
45,44086
46,41578
47,39029
48,37644
1,38051
2,38013
3,37904
4,37351
5,37138
6,37475
7,37167
8,36525
9,36035
10,35908
11,36212
12,37276
13,40062
14,43224
15,46930
