,nd
0,37910
1,38047
2,37380
3,36426
4,35687
5,35408
6,34322
7,33076
8,31970
9,31270
10,30726
11,30320
12,30429
13,30287
14,29650
15,28841
16,29007
17,29787
18,31362
19,33257
20,34932
21,36579
22,37967
23,39235
24,40204
25,40672
26,40806
27,40781
28,40758
29,40524
30,40796
31,41703
32,43527
33,45488
34,46028
35,45876
36,45195
37,44289
38,43784
39,42583
40,42181
41,40746
42,39961
43,38333
44,36951
45,35987
46,34769
47,33504
48,34221
49,34029
50,33705
51,32904
52,32715
53,32867
54,32262
55,31464
56,30776
57,30347
58,30291
59,30595
60,31900
61,33131
62,33977
63,34708
64,36067
65,37976
66,39972
67,41339
68,42408
69,42972
70,43418
71,43652
72,43988
73,43882
74,43957
75,43673
76,43795
77,43613
78,43936
79,44767
80,46900
81,49706
82,51181
83,51268
84,50448
85,49419
86,48356
87,46897
88,45766
89,44489
90,43103
91,41338
92,40133
93,38940
94,37310
95,36160
96,36626
97,36153
98,35558
99,34533
100,34118
101,34140
102,33497
103,32708
104,32000
105,31607
106,31374
107,31433
108,32116
109,32522
110,32979
111,33360
112,34669
113,36589
114,38768
115,40235
116,41431
117,42019
118,42315
119,42421
120,42653
121,42508
122,42351
123,41856
124,41696
125,41525
126,41848
127,42631
128,45019
129,48084
130,49881
131,49834
132,49416
133,48370
134,47345
135,46190
136,45080
137,43622
138,42299
139,40793
140,39593
141,38560
142,37101
143,36265
144,36713
145,36173
146,35395
147,34446
148,33898
149,33957
150,33628
151,32787
152,32076
153,31545
154,31166
155,30904
156,31166
157,31174
158,31046
159,31020
160,31999
161,33665
162,35902
163,37919
164,40144
165,41664
166,43026
167,43935
168,44747
169,44918
170,45087
171,44942
172,45063
173,45105
174,45120
175,46031
176,47778
177,50117
178,50628
179,50293
180,49727
181,48632
182,47634
183,46681
184,46082
185,44452
186,43504
187,41342
188,39890
189,38023
190,35705
191,34558
192,35293
193,35182
194,34988
195,34328
196,34209
197,34513
198,34075
199,33280
200,32684
201,32632
202,32822
203,33748
204,36507
205,39690
206,43268
207,45523
208,46998
209,47948
210,49557
211,50218
212,50624
213,50760
214,51057
215,51100
216,51356
217,51128
218,51105
219,50904
220,51117
221,50906
222,50706
223,51577
224,53469
225,56299
226,57511
227,56906
228,56381
229,55441
230,54385
231,53080
232,51434
233,50135
234,48545
235,45920
236,44086
237,41578
238,39029
239,37644
240,38051
241,38013
242,37904
243,37351
244,37138
245,37475
246,37167
247,36525
248,36035
249,35908
250,36212
251,37276
252,40062
253,43224
254,46930
255,49031
256,49844
257,50139
258,51470
259,52011
260,52128
261,52148
262,52020
263,51988
264,52074
265,51836
266,51657
267,51318
268,51470
269,51270
270,51171
271,52309
272,54404
273,57571
274,58594
275,58045
276,57401
277,56559
278,55559
279,53965
280,52967
281,51282
282,49370
283,47010
284,44653
285,42281
286,39576
287,38394
288,38746
289,38615
290,38580
291,38090
292,37939
293,38233
294,37785
295,37245
296,36671
297,36598
298,36797
299,37483
300,40212
301,43441
302,47218
303,49686
304,50800
305,50594
306,51792
307,52420
308,52631
309,52853
310,52910
311,52847
312,53010
313,52821
314,52632
315,52500
316,52581
317,52392
318,52247
319,53325
320,55383
321,57494
322,58295
323,57507
324,56830
325,55737
326,54490
327,53306
328,51900
329,50014
330,48340
331,46236
332,43706
333,41520
334,39085
335,37606
336,38055
337,37957
338,37821
339,37165
340,36872
341,37124
342,36508
343,35998
344,35455
345,35165
346,35354
347,36119
348,39045
349,42301
350,46321
351,48733
352,49637
353,49421
354,50194
355,50579
356,50507
357,50527
358,50566
359,50602
360,50610
361,50338
362,50296
363,49983
364,50084
365,49882
366,49960
367,50952
368,53229
369,56289
370,57175
371,56862
372,56161
373,55275
374,53878
375,52495
376,51438
377,49648
378,47828
379,45407
380,43232
381,41084
382,38639
383,37305
384,37773
385,37718
386,37692
387,37130
388,36816
389,37061
390,36587
391,35878
392,35275
393,35119
394,35343
395,36115
396,38758
397,42004
398,46039
399,48731
400,49722
401,49695
402,50762
403,51083
404,51323
405,51361
406,51470
407,51359
408,51304
409,50901
410,50555
411,50160
412,49990
413,49725
414,49505
415,50211
416,52022
417,55397
418,56662
419,56125
420,55376
421,54286
422,52900
423,51345
424,49533
425,47869
426,46390
427,44255
428,42506
429,41184
430,39127
431,38144
432,38618
433,38189
434,37596
435,36584
436,36292
437,36354
438,35985
439,35238
440,34558
441,34091
442,33777
443,33674
444,34482
445,35082
446,35794
447,36585
448,38088
449,40554
450,43028
451,44570
452,45756
453,46185
454,46372
455,46466
456,46624
457,46351
458,46070
459,45934
460,45871
461,45564
462,45651
463,46192
464,47583
465,50435
466,51930
467,51947
468,50831
469,49828
470,48781
471,47263
472,45950
473,44330
474,42901
475,41411
476,39825
477,38769
478,37144
479,36253
480,36968
481,36466
482,35834
483,34905
484,34327
485,34358
486,33756
487,32947
488,32103
489,31594
490,31305
491,31156
492,31455
493,31481
494,31428
495,31307
496,32441
497,34181
498,36320
499,38247
500,40138
501,41430
502,42428
503,43104
504,43791
505,44012
506,43636
507,43468
508,43291
509,43167
510,43204
511,44169
512,46413
513,48446
514,49437
515,48949
516,48511
517,47430
518,46551
519,45309
520,44097
521,43026
522,41572
523,39733
524,38046
525,36289
526,34204
527,33036
528,33741
529,33730
530,33438
531,32867
532,32655
533,32783
534,32310
535,31592
536,31041
537,30801
538,31129
539,32196
540,35498
541,38920
542,43220
543,45959
544,47167
545,47026
546,47928
547,48516
548,48675
549,48948
550,49243
551,49445
552,49789
553,49682
554,49615
555,49553
556,49636
557,49404
558,49271
559,50425
560,52383
561,54476
562,55489
563,54537
564,53503
565,52561
566,51292
567,50000
568,48167
569,46551
570,44910
571,42592
572,40660
573,38640
574,36365
575,35029
576,35658
577,35508
578,35324
579,34705
580,34451
581,34480
582,33778
583,33037
584,32425
585,32236
586,32530
587,33509
588,36600
589,39927
590,44015
591,46440
592,47021
593,46698
594,47468
595,47790
596,47888
597,48046
598,48014
